Subject Name,Scientific.Name
Japanese corktree,Phellodendron japonicum
Lavalle corktree,Phellodendron lavallei
mock orange,Philadelphus spp.
golden polypody,Phlebodium aureum
timothy,Phleum pratense
Canary Island date palm,Phoenix canariensis
date palm,Phoenix dactylifera
Senegal date palm,Phoenix reclinata
New Zealand flax,Phormium tenax
Oriental photinia,Photinia villosa
common reed,Phragmites australis
European common reed,Phragmites australis ssp. australis
chamber bitter,Phyllanthus urinaria
golden bamboo,Phyllostachys aurea
yellow groove bamboo,Phyllostachys aureosulcata
black bamboo,Phyllostachys nigra
bamboo,Phyllostachys spp.
monarch fern,Phymatosorus scolopendria
Peruvian groundcherry,Physalis peruviana
Virginia groundcherry,Physalis virginiana var. virginiana
common pokeweed,Phytolacca americana
Norway spruce,Picea abies
hawkweed oxtongue,Picris hieracioides
artilleryweed,Pilea microphylla
tall lodgepole pine,Pinus contorta var. latifolia
Coulter pine,Pinus coulteri
Jeffrey pine,Pinus jeffreyi
Austrian pine,Pinus nigra
maritime pine,Pinus pinaster
Italian stone pine,Pinus pinea
ponderosa pine,Pinus ponderosa
Monterey pine,Pinus radiata
eastern white pine,Pinus strobus
Scots pine,Pinus sylvestris
Japanese black pine,Pinus thunbergii
water lettuce,Pistia stratiotes
monkeypod,Pithecellobium dulce
Taiwanese cheesewood,Pittosporum pentandrum
Australian cheesewood,Pittosporum undulatum
Dixie silverback fern,Pityrogramma calomelanos
fragrant popcornflower,Plagiobothrys figuratus ssp. Figuratus
Mexican plantain,Plantago australis
buckhorn plantain,Plantago lanceolata
broadleaf plantain,Plantago major
elkhorn fern,Platycerium bifurcatum
petite-licorice,Plecostachys serpyllifolia
cure for all,Pluchea carolinensis
annual bluegrass,Poa annua
Canada bluegrass,Poa compressa
Kentucky bluegrass,Poa pratensis
spreading bluegrass,Poa pratensis ssp. Irrigata
Kentucky bluegrass,Poa pratensis ssp. pratensis
roughstalk bluegrass,Poa trivialis
fourleaf manyseed,Polycarpon tetraphyllum
myrtle-leaf milkwort,Polygala myrtifolia
striate knotweed,Polygonum achoreum
silversheath knotweed,Polygonum argyrocoleon
prostrate knotweed,Polygonum aviculare
Oriental lady's thumb,Polygonum cespitosum var. cespitosum
black bindweed,Polygonum convolvulus var. subulatum
pale smartweed,Polygonum lapathifolium
Oriental lady's thumb,Polygonum posumbu
bushy knotweed,Polygonum ramosissimum
knotweed,Polygonum spp.
rabbitfoot polypogon,Polypogon monspeliensis
water-bent,Polypogon viridis
white poplar,Populus alba
balsam poplar,Populus balsamifera
eastern cottonwood,Populus deltoides
bigtooth aspen,Populus grandidentata
Lombardy poplar,Populus nigra
European aspen,Populus tremula
quaking aspen,Populus tremuloides
gray poplar,Populus x canescens
common purslane,Portulaca oleracea
curly-leaved pondweed,Potamogeton crispus
biennial cinquefoil,Potentilla biennis
slender cinquefoil,Potentilla gracilis var. brunnescens
false strawberry,Potentilla indica
sulfur cinquefoil,Potentilla recta
canistel,Pouteria campechiana
praxelis,Praxelis clematidea
common selfheal,Prunella vulgaris
sweet cherry,Prunus avium
cherry plum,Prunus cerasifera
sour cherry,Prunus cerasus
plum,Prunus domestica
cherry laurel,Prunus laurocerasus
Portugal laurel,Prunus lusitanica
Amur chokecherry,Prunus maackii
Mahaleb cherry,Prunus mahaleb
European bird cherry,Prunus padus
blackthorn,Prunus spinosa
winter-flowering cherry,Prunus subhirtella
common chokecherry,Prunus virginiana
Russian wildrye,Psathyrostachys juncea
dog's-tongue,Pseudelephantopus spicatus
Jersey cudweed,Pseudognaphalium luteoalbum
longleaf speedwell,Pseudolysimachion longifolium
arrow bamboo,Pseudosasa japonica
Douglas-fir,Pseudotsuga menziesii
strawberry guava,Psidium cattleianum
guava,Psidium guajava
meadow woollyheads,Psilocarphus elatior
ladder brake,Pteris vittata
ptychosperma,Ptychosperma elegans
weeping alkaligrass,Puccinellia distans
kudzu,Pueraria montana
kudzu,Pueraria montana var. lobata
pomegranate,Punica granatum
narrowleaf firethorn,Pyracantha angustifolia
scarlet firethorn,Pyracantha coccinea
Nepalese firethorn,Pyracantha crenulata
formosa firethorn,Pyracantha koidzumii
firethorn,Pyracantha spp.
birch-leaf pear,Pyrus betulifolia
Callery pear (Bradford pear),Pyrus calleryana
common pear,Pyrus communis
sawtooth oak,Quercus acutissima
English oak,Quercus robur
tall buttercup,Ranunculus acris
showy buttercup,Ranunculus acris var. acris
corn buttercup,Ranunculus arvensis
bulbous buttercup,Ranunculus bulbosus
fig buttercup,Ranunculus ficaria var. bulbifera
greater creeping spearwort,Ranunculus flammula var. filiformis
creeping buttercup,Ranunculus repens
hairy buttercup,Ranunculus sardous
wild radish,Raphanus raphanistrum
radish,Raphanus sativus
white mignonette,Reseda alba
bridal broom,Retama monosperma
Japanese knotweed,Reynoutria japonica
giant knotweed,Reynoutria sachalinensis
Bohemian knotweed,Reynoutria x bohemica
Italian buckthorn,Rhamnus alaternus
European buckthorn,Rhamnus cathartica
Chinese buckthorn,Rhamnus utilis
Russian knapweed,Rhaponticum repens
garden rhubarb,Rheum rhabarbarum
rose myrtle,Rhodomyrtus tomentosa
jetbead,Rhodotypos scandens
smooth sumac,Rhus glabra
staghorn sumac,Rhus typhina
anglestem beaksedge,Rhynchospora caduca
cultivated currant,Ribes rubrum
European gooseberry,Ribes uva-crispa
largeflower Mexican clover,Richardia grandiflora
castorbean,Ricinus communis
bristly locust,Robinia hispida
black locust,Robinia pseudoacacia
rosy sandcrocus,Romulea rosea var. australis
Austrian fieldcress,Rorippa austriaca
yellow fieldcress,Rorippa sylvestris
Macartney rose,Rosa bracteata
dog rose,Rosa canina
cinnamon rose,Rosa cinnamomea
French rose,Rosa gallica
Cherokee rose,Rosa laevigata
memorial rose,Rosa luciae
smallflower sweetbrier,Rosa micrantha
multiflora rose,Rosa multiflora
sweetbriar,Rosa rubiginosa
Seaside rose,Rosa rugosa
Scottish rose,Rosa spinosissima
damask rose,Rosa x damascena
roundleaf toothcup,Rotala rotundifolia
itchgrass,Rottboellia cochinchinensis
highbush blackberry,Rubus argutus
Himalayan blackberry,Rubus armeniacus
Himalayan blackberry,Rubus bifrons
European red raspberry,Rubus idaeus
strawberry raspberry,Rubus illecebrosus
cutleaf blackberry,Rubus laciniatus
largeleaf blackberry,Rubus macrophyllus
wine raspberry,Rubus phoenicolasius
West Indian raspberry,Rubus rosifolius
"cane fruit (blackberry, raspberry)",Rubus spp.
elmleaf blackberry,Rubus ulmifolius
European blackberry,Rubus vestitus
black-eyed susan,Rudbeckia hirta
Browne's blechum,Ruellia blechum
Britton's wild petunia,Ruellia simplex
green sorrel,Rumex acetosa
red sorrel,Rumex acetosella
curly dock,Rumex crispus
curly dock,Rumex crispus ssp. crispus
longleaf dock,Rumex longifolius
golden dock,Rumex maritimus
broadleaf dock,Rumex obtusifolius
field dock,Rumex pseudonatronatus
narrowleaf dock,Rumex stenophyllus
Tasmanian wallaby grass,Rytidosperma biannulare
tufted wallaby grass,Rytidosperma caespitosum
hairy wallaby grass,Rytidosperma penicillatum
ravennagrass,Saccharum ravennae
glenwoodgrass,Sacciolepis indica
birdseye pearlwort,Sagina procumbens
grassy arrowhead,Sagittaria graminea
white willow,Salix alba
weeping willow,Salix babylonica
goat willow,Salix caprea
large gray willow,Salix cinerea
crack willow,Salix fragilis
corkscrew willow,Salix matsudana
laurel willow,Salix pentandra
purpleosier willow,Salix purpurea
willow,Salix spp.
osier,Salix viminalis
Wisconsin weeping willow,Salix x pendulina
weeping willow,Salix x sepulcralis
lily of the valley vine,Salpichroa origanifolia
slender Russian thistle,Salsola collina
Russian thistle,Salsola kali
barbwire Russian-thistle,Salsola paulsenii
prickly Russian thistle,Salsola ryanii
oppositeleaf Russian thistle,Salsola soda
Russian thistle,Salsola tragus
Mediterranean sage,Salvia aethiopis
sticky sage,Salvia glutinosa
meadow sage,Salvia pratensis
Europe sage,Salvia sclarea
water fern,Salvinia minima
giant salvinia,Salvinia molesta
iguanatail,Sansevieria hyacinthoides
bouncingbet,Saponaria officinalis
mourningbride,Scabiosa atropurpurea
beach naupaka,Scaevola taccada
octopus tree,Schefflera actinophylla
Peruvian peppertree,Schinus molle
Brazilian peppertree,Schinus terebinthifolius
Arabian schismus,Schismus arabicus
common mediterraneangrass,Schismus barbatus
ricefield bulrush,Schoenoplectiella mucronata
squill,Scilla siberica
lakeshore nutrush,Scleria lacustris
common goldenthistle,Scolymus hispanicus
fall dandelion,Scorzoneroides autumnalis
cereal rye,Secale cereale
chayote,Sechium edule
purple crown-vetch,Securigera varia
stringy stonecrop,Sedum sarmentosum
desert ragwort,Senecio eremophilus
cutleaf burnweed,Senecio glomeratus
Columbia ragwort,Senecio integerrimus var. exaltatus
fireweed groundsel,Senecio linearifolius
tall ragwort,Senecio serra
woodland groundsel,Senecio sylvaticus
sticky groundsel,Senecio viscosus
common groundsel,Senecio vulgaris
sicklepod,Senna obtusifolia
coffee senna,Senna occidentalis
valamuerto,Senna pendula var. advena
valamuerto,Senna pendula var. glabrata
hedionda macho,Senna septemtrionalis
glossy shower,Senna surattensis
bigpod sesbania,Sesbania herbacea
red sesbania,Sesbania punicea
bagpod,Sesbania vesicaria
giant foxtail,Setaria faberi
foxtail millet,Setaria italica
palmgrass,Setaria palmifolia
knotroot foxtail,Setaria parviflora
yellow foxtail,Setaria pumila
yellow foxtail,Setaria pumila ssp. Pumila
bristly foxtail,Setaria verticillata
green foxtail,Setaria viridis
green bristlegrass,Setaria viridis var. viridis
field madder,Sherardia arvensis
sida,Sida planicaulis
common St. Paul's wort,Sigesbeckia orientalis
garden catchfly,Silene armeria
maltese-cross,Silene chalcedonica
rose campion,Silene coronaria
biennial campion,Silene csereii
red campion,Silene dioica
meadow campion,Silene flos-cuculi
English catchfly,Silene gallica
white campion,Silene latifolia
bladder campion,Silene latifolia ssp. Alba
nightflowering catchfly,Silene noctiflora
bladder campion,Silene vulgaris
cup rosinweed,Silphium perfoliatum
blessed milkthistle,Silybum marianum
white mustard,Sinapis alba
wild mustard,Sinapis arvensis
tumble mustard,Sisymbrium altissimum
London rocket,Sisymbrium irio
tall hedge mustard,Sisymbrium loeselii
hedge mustard,Sisymbrium officinale
oriental mustard,Sisymbrium orientale
American black nightshade,Solanum americanum
New Zealand nightshade,Solanum aviculare
horsenettle,Solanum carolinense
twoleaf nightshade,Solanum diphyllum
bittersweet nightshade,Solanum dulcamara
climbing nightshade,Solanum dulcamara var. dulcamara
silverleaf nightshade,Solanum elaeagnifolium
purple African nightshade,Solanum marginatum
black nightshade,Solanum nigrum
hairy nightshade,Solanum physalifolium
currant tomato,Solanum pimpinellifolium
Jerusalem-cherry,Solanum pseudocapsicum
buffalobur,Solanum rostratum
Brazilian nightshade,Solanum seaforthianum
nightshade,Solanum spp.
wetland nightshade,Solanum tampicense
turkeyberry,Solanum torvum
cutleaf nightshade,Solanum triflorum
tropical soda apple,Solanum viarum
common coleus,Solenostemon scutellarioides
Canada goldenrod,Solidago canadensis var. scabra
lawn burweed,Soliva sessilis
perennial sowthistle,Sonchus arvensis
field sowthistle,Sonchus arvensis ssp. arvensis
moist sowthistle,Sonchus arvensis ssp. Uliginosus
spiny sowthistle,Sonchus asper
annual sowthistle,Sonchus oleraceus
sowthistle,Sonchus spp.
false spiraea,Sorbaria sorbifolia
European mountain-ash,Sorbus aucuparia
sorghum (type unspecified),Sorghum bicolor
sudangrass,Sorghum bicolor ssp. Drummondii
johnsongrass,Sorghum halepense
smooth cordgrass,Spartina alterniflora
common cordgrass,Spartina anglica
denseflower cordgrass,Spartina densiflora
cordgrass hybrid,Spartina foliosa x alterniflora
saltmeadow cordgrass,Spartina patens
Spanish broom,Spartium junceum
African tuliptree,Spathodea campanulata
Philippine ground orchid,Spathoglottis plicata
corn spurry,Spergula arvensis
red sandspurry,Spergularia rubra
shrubby false buttonweed,Spermacoce verticillata
swainsonpea,Sphaerophysa salsula
Bay Biscayne creeping-oxeye,Sphagneticola trilobata
Japanese spiraea,Spiraea japonica f.
fortune meadowsweet,Spiraea japonica var. fortunei
bridalwreath spiraea,Spiraea prunifolia
Thunberg's meadowsweet,Spiraea thunbergii
purple mombin,Spondias purpurea
tussock dropseed,Sporobolus diandrus
smutgrass,Sporobolus indicus
rat-tail grass,Sporobolus indicus var. capensis
West Indian dropseed,Sporobolus indicus var. pyramidalis
fieldnettle betony,Stachys arvensis
Florida betony,Stachys floridana
cayenne porterweed,Stachytarpheta cayennensis
Jamaica vervain,Stachytarpheta jamaicensis
nettleleaf velvetberry,Stachytarpheta urticifolia
little starwort,Stellaria graminea
common chickweed,Stellaria media
common chickweed,Stellaria media ssp. Media
common chickweed,Stellaria pallida
St. Augustinegrass,Stenotaphrum secundatum
smilo grass,Stipa miliacea var. miliacea
witchweed,Striga asiatica
African mustard,Strigosella africana
Japanese pagoda tree,Styphnolobium japonicum
queen palm,Syagrus romanzoffiana
prickly comfrey,Symphytum asperum
common comfrey,Symphytum officinale
nodeweed,Synedrella nodiflora
American evergreen,Syngonium podophyllum
common lilac,Syringa vulgaris
Java plum,Syzygium cumini
Malabar plum,Syzygium jambos
medusahead,Taeniatherum caput-medusae
sea hibiscus,Talipariti tiliaceum var. tiliaceum
African tamarisk,Tamarix africana
Athel tamarisk,Tamarix aphylla
fivestamen tamarisk,Tamarix chinensis
French tamarisk,Tamarix gallica
smallflower tamarisk,Tamarix parviflora
saltcedar,Tamarix ramosissima
common tansy,Tanacetum vulgare
rock dandelion,Taraxacum erythrospermum
dandelion,Taraxacum officinale
Japanese yew,Taxus cuspidata
incised halberd fern,Tectaria incisa
tropical almond,Terminalia catappa
Australian almond,Terminalia muelleri
bee-bee tree,Tetradium daniellii
New Zealand spinach,Tetragonia tetragonioides
jeweled maiden fern,Thelypteris opulenta
portia tree,Thespesia populnea
intermediate wheatgrass,Thinopyrum intermedium
Russian wheatgrass,Thinopyrum junceiforme
tall wheatgrass,Thinopyrum ponticum
roadside pennycress,Thlaspi alliaceum
field pennycress,Thlaspi arvense
spurge flax,Thymelaea passerina
mother of thyme,Thymus praecox
herbaceous glorytree,Tibouchina herbacea
Australian redcedar,Toona ciliata
spreading hedgeparsley,Torilis arvensis
spreading hedgeparsley,Torilis arvensis ssp. arvensis
Japanese hedge-parsley,Torilis japonica
eastern poison-ivy,Toxicodendron radicans
white-flowered spiderwort,Tradescantia fluminensis
boatlily,Tradescantia spathacea
western salsify,Tragopogon dubius
meadow salsify,Tragopogon lamottei
common salsify,Tragopogon porrifolius
European water chestnut,Trapa natans
water chestnut,Trapa spp.
oriental trema,Trema orientalis
Chinese tallowtree,Triadica sebifera
Jamaica feverplant,Tribulus cistoides
puncturevine,Tribulus terrestris
rabbitfoot clover,Trifolium arvense
hop clover,Trifolium aureum
large hop clover,Trifolium campestre
small hop clover,Trifolium dubium
rose clover,Trifolium hirtum
alsike clover,Trifolium hybridum
crimson clover,Trifolium incarnatum
lupine clover,Trifolium lupinaster
smallhead clover,Trifolium microcephalum
red clover,Trifolium pratense
white clover,Trifolium repens
Persian clover,Trifolium resupinatum
subterranean clover,Trifolium subterraneum
whitetip clover,Trifolium variegatum
ravennagrass,Tripidium ravennae spp. Ravennae
mayweed,Tripleurospermum inodorum
false mayweed,Tripleurospermum maritimum
common wheat,Triticum aestivum
Sacramento burrbark,Triumfetta semitriloba
European globeflower,Trollius europaeus
tower-mustard,Turritis glabra
coltsfoot,Tussilago farfara
narrow-leaved cattail,Typha angustifolia
common cattail,Typha latifolia
hybrid cattail,Typha x glauca
gorse,Ulex europaeus
Chinese elm,Ulmus parvifolia
English elm,Ulmus procera
Siberian elm,Ulmus pumila
Asian kelp,Undaria pinnatifida
Caesarweed,Urena lobata
paragrass,Urochloa mutica
stinging nettle,Urtica dioica
European stinging nettle,Urtica dioica ssp. dioica
burning nettle,Urtica urens
floating bladderwort,Utricularia inflata
cowcockle,Vaccaria hispanica
common valerian,Valeriana officinalis
ventenata,Ventenata dubia
moth mullein,Verbascum blattaria
common mullein,Verbascum thapsus
tall vervain,Verbena bonariensis
Brazilian vervain,Verbena incompta
Uruguayan vervain,Verbena montevidensis
crownbeard,Verbesina encelioides
tungoil tree,Vernicia fordii
water speedwell,Veronica anagallis-aquatica
corn speedwell,Veronica arvensis
European speedwell,Veronica beccabunga
twolobe speedwell,Veronica biloba
germander speedwell,Veronica chamaedrys
slender speedwell,Veronica filiformis
ivyleaf speedwell,Veronica hederifolia
longleaf speedwell,Veronica longifolia
common speedwell,Veronica officinalis
common gypsyweed,Veronica officinalis var. officinalis
neckweed,Veronica peregrina ssp. peregrina
hairy purslane speedwell,Veronica peregrina ssp. Xalapensis
Persian speedwell,Veronica persica
wayside speedwell,Veronica polita
thymeleaf speedwell,Veronica serpyllifolia
thymeleaf speedwell,Veronica serpyllifolia ssp. serpyllifolia
spiked speedwell,Veronica spicata ssp. spicata
linden viburnum,Viburnum dilatatum
wayfaringtree,Viburnum lantana
European cranberrybush,Viburnum opulus
"cranberry viburnum, European highbush cranberry",Viburnum opulus ssp. Opulus
Japanese snowball,Viburnum plicatum
doublefile viburnum,Viburnum plicatum tomentosum
tea viburnum,Viburnum setigerum
Siebold's arrowwood,Viburnum sieboldii
laurustinus,Viburnum tinus
bird vetch,Vicia cracca
bird vetch,Vicia cracca ssp. cracca
large yellow vetch,Vicia grandiflora
tiny vetch,Vicia hirsuta
common vetch,Vicia sativa
garden vetch,Vicia sativa ssp. Nigra
garden vetch,Vicia sativa ssp. sativa
bush vetch,Vicia sepium var. sepium
vetch,Vicia spp.
sparrow vetch,Vicia tetrasperma
hairy vetch,Vicia villosa
winter vetch,Vicia villosa ssp. Varia
winter vetch,Vicia villosa ssp. Villosa
big periwinkle,Vinca major
common periwinkle,Vinca minor
white swallowwort,Vincetoxicum hirundinaria
"Black dog-strangling vine, black swallowwort",Vincetoxicum nigrum
"dog-strangling vine, European swallowwort",Vincetoxicum rossicum
exotic swallowwort,Vincetoxicum spp.
English violet,Viola odorata
pansy,Viola tricolor
lilac chastetree,Vitex agnus-castus
beach vitex,Vitex rotundifolia f.
simpleleaf chastetree,Vitex trifolia
grape,Vitis spp.
wine grape,Vitis vinifera
Egyptian knapweed,Volutaria tubuliflora
squirreltail fescue,Vulpia bromoides
rattail fescue,Vulpia myuros
Washington fan palm,Washingtonia robusta
cape bugle-lily,Watsonia borbonica
bulbil bugle-lily,Watsonia meriana
Japanese wisteria,Wisteria floribunda
Chinese wisteria,Wisteria sinensis
Wisteria floribunda x sinensis hybrid,Wisteria x formosa
spiny cocklebur,Xanthium spinosum
arrowleaf elephant's ear,Xanthosoma sagittifolium
Asiatic hawksbeard,Youngia japonica
calla lily,Zantedeschia aethiopica
prickly-ash,Zanthoxylum americanum
Japanese zelkova,Zelkova serrata
dwarf eelgrass,Zostera japonica
Syrian beancaper,Zygophyllum fabago